Rotkreuz|Zürich HB|2
Bern, Stauffacherbrücke|Bern, Winkelriedstrasse|70
La Sagne|Les Coeudres-Est|38
Gossens, village|Cronay, Moulin du Pont|16
Hugelshofen, Post|Hugelshofen, Unterdorf|26
Croy-Romainmôtier|La Sarraz|3
Röschenz, Post|Röschenz, Dorfplatz|49
Ranzo-S. Abbondio|Gerra (Gambarogno)|14
Lausanne LO|Montriond|166
Stäfa, Mühlehölzli|Stäfa, Schützenhaus Wanne|34
Saanenmöser|Zweisimmen|15
Lausanne LO|Lausanne-Flon|50
Goldach, Post|Goldach, Rathaus|6
Dornach, Goetheanum|Dornach, Ober-Erli|51
Gümligen, Bahnhof|Konolfingen, Bahnhof|1
Glattbrugg|Rümlang|79
Couvet, hôpital|Couvet, Viaduc|12
Ipsach Herdi|Sutz|81
Oberägeri, Station|Alosen|76
Herblingen, Post|Thayngen, Bahnhof|5
Monteggio, Bivio Fornasette|Monteggio, Paese|41
Viganello, San Siro|Pregassona|38
Meiringen RfB|Reichenbachfall|6
Wiggen, Unterbach|Escholzmatt, Riedgasse|48
Henau, Felsegg|Zuzwil SG, Grünegg|1
Kriens PB|Fräkmüntegg|6
Sursee, Waldegg|Sursee, Möbel Ulrich|13
Bülach, Untertor|Kloten, GAC|8
Castasegna, Posta|Castasegna, Farzett|21
Bellerive SMGN|Creux-de-Genthod SMGN|4
Nussbaumen TG, Post|Stammheim, Frohsinn|28
Le Prese, Posta|Poschiavo, Stazione|2
Arzo, Posta|Arzo, San Grato|30
Kreuzlingen, Rebstockplatz|Kreuzlingen, Weiherstrasse|32
Bertiswil|Eichenring|72
Bertiswil|Sandblatten|195
Bremgarten AG, Waage|Bremgarten AG, Meyerhof|43
Basel, Kannenfeldplatz|Basel, Im Wasenboden|469
Gland, Jura|Gland, Les Perrerets|2
Chalais, téléphérique|Chippis, Eaux-Vives|29
Ried (Tirol), St. Christina|Tösens, Steinbrücke|18
Delémont, Av. de la gare|Delémont, centre l'Avenir|19
Grugnay, bif.|Vérines, Pré du Mayen|22
Chavannes-le-Chêne, Hôtel|Rovray, village|14
Castrisch, vitg|Castrisch, Schleps|25
Castrisch, vitg|Valendas, Castuglia|17
Laupen ZH, Hubwies|Laupen ZH, Diezikon|12
Thierrens, poste|Thierrens, en Tombaz|20
Bonstetten-Wettswil, Bahnhof|Bonstetten, Lätten|29
Bächli, Dorf|Bächli, Harzenmoos|26
Rüti GL|Linthal Braunwaldbahn|31
Biel/Bienne, Renferstrasse|Biel/Bienne, Redernweg|15
Valendas, Abzw. Brün|Valendas, Carrera|17
Stans, St. Josef|Ennetmoos, Morgästärn|55
Wettswil a.A., Schürli|Wettswil a.A., Beerimoos|38
Zürich HB|Zürich Hardbrücke|591
Verdabbio|Grono, Paese|27
Mulegns|Sur, posta|23
Möhlin, Obermatt|Wallbach, Friedhof|36
Oggio, Fiume bello|Curtina, Posta Vecchia|27
Ammannsegg|Biberist RBS|8
Schmitten (Albula), Post|Schmitten (Albula), Chappali|24
Zenhäusern|Ronalp|25
Umbrail, Schweizer Zoll|Sta. Maria Val M., Val Gronda|3
Fliess, Urgen|Fliess, Abzw. Eichholz|19
Bellinzona, Piazza Orico|Bellinzona, Viale Franscini|24
Versam-Safien, Bahnhof|Versam, Grosshus|35
